hobo_event_n,start_date,start_time_EST,end_date,end_time_EST,notes
1,7/26/2018,7/26/2018 10:30,7/26/2018,7/26/2018 15:30,
2,9/3/2018,9/3/2018 18:00,9/4/2018,9/4/2018 12:00,all show linear reservoir drainage
3,9/11/2018,9/11/2018 1:00,9/11/2018,9/11/2018 13:00,"YB LR drainage, SM less so"
4,9/21/2018,9/21/2018 6:00,9/23/2018,9/23/2018 6:00,
5,9/25/2018,9/25/2018 10:00,9/27/2018,9/27/2018 0:00,double pulse event
6,10/2/2018,10/2/2018 0:00,10/3/2018,10/3/2018 14:00,all show linear reservoir drainage
7,10/11/2018,10/11/2018 5:00,10/12/2018,10/12/2018 2:00,all show linear reservoir drainage
8,11/1/2018,11/1/2018 12:00,11/2/2018,11/2/2018 13:00,
9,11/2/2018,11/2/2018 22:00,11/3/2018,11/3/2018 22:00,double pulse event
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
