Event_Number,datetime_interval_EST2,event_dur_sec,P_event_mm,P_max_event_mm_hr,P_mean_event_mm_hr
1,2018-05-31 16:30:00 EST--2018-06-04 14:20:00 EST,337800s (~3.91 days),8.888,2.067,0.0945531914893617
2,2018-06-13 15:30:00 EST--2018-06-16 14:00:00 EST,253800s (~2.94 days),10.411,1.773,0.14663380281690142
3,2018-06-16 14:00:00 EST--2018-06-19 10:00:00 EST,244800s (~2.83 days),28.449,6.839,0.41836764705882357
6,2018-06-29 10:00:00 EST--2018-07-03 06:00:00 EST,331200s (~3.83 days),30.501,12.335,0.33153260869565215
7,2018-07-03 06:00:00 EST--2018-07-09 14:00:00 EST,547200s (~6.33 days),14.288,3.751,0.094
8,2018-07-19 16:00:00 EST--2018-07-25 10:00:00 EST,496800s (~5.75 days),29.853,5.58,0.21632608695652175
9,2018-07-25 10:00:00 EST--2018-07-28 14:30:00 EST,275400s (~3.19 days),71.997,12.472,0.935025974025974
10,2018-07-28 14:30:00 EST--2018-07-30 11:45:00 EST,162900s (~1.89 days),0,0,0
11,2018-07-30 11:45:00 EST--2018-08-05 08:30:00 EST,506700s (~5.86 days),13.206999999999999,3.348,0.09366666666666666
12,2018-08-30 12:00:00 EST--2018-09-07 13:50:00 EST,697800s (~1.15 weeks),39.375,25.444,0.2029639175257732
13,2018-09-07 13:50:00 EST--2018-09-11 15:00:00 EST,349800s (~4.05 days),22.099,5.573,0.22782474226804125
14,2018-09-11 15:00:00 EST--2018-09-23 15:00:00 EST,1036800s (~1.71 weeks),18.542,5.371,0.06438194444444445
15,2018-09-23 15:00:00 EST--2018-09-27 09:00:00 EST,324000s (~3.75 days),28.195,10.185,0.31327777777777777
16,2018-09-27 09:00:00 EST--2018-10-01 12:30:00 EST,358200s (~4.15 days),12.957,1.834,0.12957
17,2018-10-01 12:30:00 EST--2018-10-03 16:40:00 EST,187800s (~2.17 days),25.401,2.76,0.4792641509433962
18,2018-10-03 16:40:00 EST--2018-10-12 13:15:00 EST,765300s (~1.27 weeks),34.289,4.804,0.16174056603773584
21,2018-10-31 14:30:00 EST--2018-11-02 15:00:00 EST,174600s (~2.02 days),30.983,3.414,0.6323061224489795
22,2018-11-02 15:00:00 EST--2018-11-04 14:00:00 EST,169200s (~1.96 days),27.945,9.393,0.5945744680851064
19,2018-10-14 12:00:00 EST--2018-10-16 12:00:00 EST,172800s (~2 days),12.702,4.797,0.264625
5,2018-06-26 13:00:00 EST--2018-06-29 10:00:00 EST,248400s (~2.88 days),26.333,4.287,0.3816376811594203
20,2018-10-16 12:00:00 EST--2018-10-24 14:30:00 EST,700200s (~1.16 weeks),18.038,2.139,0.0925025641025641
4,2018-06-22 12:00:00 EST--2018-06-26 10:00:00 EST,338400s (~3.92 days),3.051,0.398,0.03245744680851064
